Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"C.-Gaudreault, René",Université Laval,Project Grant,201709PJT,Commercialization,Validation of Highly Potent Substituted Phenyl Alkylureas as Antipsoriatic Agents,"$497,250",$0,3 yrs 0 mth 
"Coles, John G; Bouvier, Michel; Maynes, Jason T",Hospital for Sick Children (Toronto),Project Grant,201709PJT,Commercialization,Integrin Linked Kinase as a Novel Therapeutic Target for Heart Failure,"$512,550",$0,3 yrs 0 mth 
"Gleave, Martin E; Lack, Nathan A",University of British Columbia,Project Grant,201709PJT,Commercialization,Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,"$351,900",$0,2 yrs 0 mth 
"Poirier, Donald",Université Laval,Project Grant,201709PJT,Commercialization,Démonstration de l'efficacité du premier inhibiteur irréversible et sélectif de la  17beta-HSD1 pour le traitement des cancers du sein sensibles aux estrogènes,"$279,226",$0,2 yrs 0 mth 
"Sutherland, Garnette R; Zareinia, Kourosh",University of Calgary,Project Grant,201709PJT,Commercialization,The SmartForceps System: An intelligent and innovative tool technology for recording surgical performance and skill,"$520,200",$0,3 yrs 0 mth 
"Weaver, Donald F",University Health Network (Toronto),Project Grant,201709PJT,Commercialization,"Design and Development of Brain Permeant Indoleamine-2,3-Dioxygenase Inhibitors","$765,000",$0,4 yrs 0 mth 
"Zeng, Haishan; Tai, Isabella T",University of British Columbia,Project Grant,201709PJT,Commercialization,Real-time Endoscopic Raman Spectroscopy for Improving Dysplasia/Colorectal Cancer Detection in Patients with Inflammatory Bowel Diseases,"$508,724",$0,4 yrs 0 mth 
"Kazem-Moussavi, Zahra M",University of Manitoba,Project Grant,201803PJT,Commercialization,Acoustical Device for Obstructive Sleep Apnea Severity Prediction during Wakefulness,"$367,200",$0,3 yrs 0 mth 
"Sibille, Etienne",Centre for Addiction and Mental Health (Toronto),Project Grant,201803PJT,Commercialization,Novel therapeutic targeting for cognitive deficits in depression and aging,"$550,800",$0,3 yrs 0 mth 
"Towler, Mark R",Toronto Metropolitan University,Project Grant,201803PJT,Commercialization,"Development of a Proprietary, Glass-Based Adhesive for Sternal Fixation and Stabilisation.","$602,438",$0,3 yrs 0 mth 
"Garnis, Cathie",University of British Columbia,Project Grant,201809PJT,Commercialization,Blood based biomarker for the early detection of recurrent head and neck cancer,"$539,324",$0,4 yrs 0 mth 
"Paganelli, Massimiliano","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,201809PJT,Commercialization,Stem cell-derived Encapsulated Liver Tissue to treat liver failure without immunosuppression: technology maturation towards clinical translation,"$497,249",$0,3 yrs 0 mth 
"Sarunic, Marinko V","Simon Fraser University (Burnaby, B.C.)",Project Grant,201809PJT,Commercialization,Sensorless Adaptive Optics Optical Coherence Tomography for Clinical Ophthalmology,"$493,425",$0,3 yrs 0 mth 
"St-Pierre, Yves","INRS - (Québec, QC)",Project Grant,201809PJT,Commercialization,GAL-7-specific nanobodies for treatment of triple-negative breast cancer,"$371,024",$0,3 yrs 0 mth 
"Wu, Xiao Yu S",University of Toronto,Project Grant,201809PJT,Commercialization,Development of a Smart Tumor-Activated Nanodiagnostic System for Sensitive Detection of Solid Tumors and Metastases,"$470,475",$0,3 yrs 0 mth 
"Yousef, George M; Fleshner, Neil E; Xu, Wei",Unity Health Toronto,Project Grant,201809PJT,Commercialization,Development of the first pre-operative serum exosomal miRNA test to guide treatment decision in prostate cancer,"$573,752",$0,4 yrs 0 mth 
"Agrawal, Babita",University of Alberta,Project Grant,201903PJT,Commercialization,Development of a novel universal (cross-protective) vaccine technology for influenza viruses,"$367,200",$0,3 yrs 0 mth 
"Minchinton, Andrew I",University of British Columbia,Project Grant,201903PJT,Commercialization,Hypoxia-activated DNA repair inhibitors to improve cancer therapy,"$573,750",$0,3 yrs 0 mth 
"Zhang, Li",University Health Network (Toronto),Project Grant,201903PJT,Commercialization,"Developing a platform for ""off-the-shelf"" CAR-T cell therapies for cancer using double negative T cells","$703,800",$0,4 yrs 0 mth 
"Schweizer, Frank",University of Manitoba,Project Grant - Priority Announcement: Infection and Immunity,201909PJ4,Commercialization,Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,"$100,000",$0,1 yr 0 mth 
"Biddiss, Elaine A; Wong, Sharon",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Project Grant,201909PJT,Commercialization,"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness","$409,276",$0,3 yrs 0 mth 
"Brinkman, Ryan; Weng, Andrew P",University of British Columbia,Project Grant,201909PJT,Commercialization,Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,"$317,475",$0,1 yr 10 mths 
"Li, Shyh-Dar; Cairns, Brian E; Malone, Amanda",University of British Columbia,Project Grant,201909PJT,Commercialization,Validation and commercialization of an innovative analgesic for chronic pain,"$524,026",$0,3 yrs 0 mth 
"Ma, Hongshen",University of British Columbia,Project Grant,201909PJT,Commercialization,Non-contact screening technology to expedite cell line development for antibody production,"$524,026",$0,3 yrs 0 mth 
"Boisselier Mailfait, Elodie",Université Laval,Project Grant,202003PJT,Commercialization,Un nouveau vecteur de médicaments ophtalmiques à base de nanoparticules d'or,"$550,800",$0,5 yrs 0 mth 
"Kushki, Azadeh",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Project Grant,202003PJT,Commercialization,A wearable technology approach to managing challenging behaviours in children with autism spectrum disorder (ASD),"$485,774",$0,3 yrs 0 mth 
"Olson, David M",University of Alberta,Project Grant,202003PJT,Commercialization,Integrated discovery studies and commercialization for a preterm birth diagnostic and a therapeutic,"$558,450",$0,3 yrs 0 mth 
"Schweizer, Frank",University of Manitoba,Project Grant,202003PJT,Commercialization,Rescuing beta-lactam antibiotic/beta-lactamase inhibitor combinations from resistance against multidrug-resistant Gram-negative pathogens,"$654,075",$0,4 yrs 0 mth 
"Drangova, Maria",Western University (Ontario),Project Grant,202010PJT,Commercialization,Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,"$367,200",$0,2 yrs 0 mth 
"Kizhakkedathu, Jayachandran N; Lange, Dirk",University of British Columbia,Project Grant,202010PJT,Commercialization,Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,"$520,199",$0,3 yrs 0 mth 
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Project Grant - PA: Cancer Research - Cancer Prevention,202010PXX,Commercialization,Innovation of a Proprietary Liquid Biopsy Strategy for Diagnosis of Early Stage Ovarian Cancer,"$100,000",$0,1 yr 0 mth 
"Mossman, Karen L",McMaster University,Project Grant,202104PJT,Commercialization,Clinical development of oncolytic BHV-1 for cancer therapy,"$504,900",$0,3 yrs 0 mth 
"Saragovi, Horacio U",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Project Grant,202104PJT,Commercialization,Innovation of Proprietary Liquid Biopsy Assays for Diagnosis of Early Stage Ovarian Cancer,"$650,251",$0,2 yrs 0 mth 
"Willerth, Stephanie M",University of Victoria (British Columbia),Project Grant,202104PJT,Commercialization,3D bioprinting next generation brain organoids for identifying drug targets for Alzheimer's disease,"$489,600",$0,4 yrs 0 mth 
"Zeng, Haishan; Poh, Catherine",University of British Columbia,Project Grant,202104PJT,Commercialization,Autofluorescence Imaging Guided Laser Raman Spectroscopy for Non-invasive Oral Cancer Detection,"$742,051",$0,4 yrs 0 mth 
"Leavitt, Blair R",University of British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,"$100,000",$0,1 yr 0 mth 
"Qadura, Mohammad; Klein, David J; Rotstein, Ori D",Unity Health Toronto,Project Grant,202109PJT,Commercialization,Artery Alert - Revolutionizing the Diagnosis of Peripheral Arterial Disease,"$428,400",$0,4 yrs 0 mth 
"Sheardown, Heather D",McMaster University,Project Grant,202109PJT,Commercialization,A novel eye drop platform to improve ocular therapies,"$531,674",$0,3 yrs 0 mth 
"Wang, Yuzhuo",University of British Columbia,Project Grant,202109PJT,Commercialization,Optimization and Validation of MCT4-targeting Small Molecule Inhibitors for Treatment of Advanced Cancers,"$1,147,500",$0,5 yrs 0 mth 
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant - PA: Breast Cancer Research,202109PLL,Commercialization,Platform of synthetic specific promoters for immunotherapies and regenerative medicine,"$100,000",$0,1 yr 0 mth 
