Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,normalized_Project_Title
"Yokota, Toshifumi",University of Alberta,Project Grant,202203PJT,Commercialization,Commercializing a novel platform for delivery of antisense oligonucleotide-mediated therapy,"$1,009,800",$0,5 yrs 0 mth ,Genetics,Genetics-Clinical Genetics,2022-10-01,2027-09-30,commercializing a novel platform for delivery of antisense oligonucleotidemediated therapy
"Withers, Stephen G",University of British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Novel mechanism-based inhibitors of influenza neuraminidase as potential anti-viral agents,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; VIROLOGY; POPULATION HEALTH,2010-04-01,2011-03-31,novel mechanismbased inhibitors of influenza neuraminidase as potential antiviral agents
"Jarvi, Keith A",Sinai Health System (Toronto),Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using TEX101 protein measured in seminal plasma by ELISA,"$160,000",$0,1 yr 0 mth ,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",2016-04-01,2017-03-31,prediction of successful sperm retrieval in patients with nonobstructive azoospermia using tex101 protein measured in seminal plasma by elisa
"Hancock, Robert Ernest W",University of British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Anti-Biofilm Therapy,"$160,000",$0,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; BACTERIOLOGY; DRUG RESEARCH,2013-04-01,2014-03-31,antibiofilm therapy
"Ross, Ruth A",University of Toronto,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development and Testing of Small Molecule Allosteric Modulators for the Treatment of Pain.,"$157,999",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; ARTHRITIS/OSTEOARTHRITIS; DRUG RESEARCH; AGING,2013-04-01,2014-03-31,development and testing of small molecule allosteric modulators for the treatment of pain
"Stojdl, David F",Children's Hospital of Eastern Ontario Research Institute Inc,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Chimeric Oncolytic Virus for Brain Cancer Treatment,"$160,000",$0,1 yr 0 mth ,Cancer Research,BRAIN TUMORS THERAPY; CANCER THERAPY GENERAL,2013-10-01,2014-09-30,chimeric oncolytic virus for brain cancer treatment
"Martineau, Paul A",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,POROUS COMPRESSION SCREW for FRACTURE FIXATION,"$155,375",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; HEALTH CARE DELIVERY; HEALTH RESEARCH; MUSCLE, BONE, OR JOINT",2011-04-01,2012-03-31,porous compression screw for fracture fixation
"Hess, Robert F",McGill University,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Assessment and Treatment of Binocular Vision in Amblyopia,"$126,802",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; VISION,2009-01-01,2009-12-31,assessment and treatment of binocular vision in amblyopia
"Weaver, Donald F",IWK Health Centre (Halifax),Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Contact Optical Microscopy,"$148,684",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMAGING; INTERNATIONAL HEALTH,2010-04-01,2011-03-31,contact optical microscopy
"Zhang, Li",University Health Network (Toronto),Proof of Principle Program - Phase II,201502PP2,Proof of Principle,A new cellular immunotherapy to treat acute myeloid leukemia,"$183,670","$35,500",1 yr 0 mth ,Cancer Research,MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; CANCER,2015-10-01,2016-09-30,a new cellular immunotherapy to treat acute myeloid leukemia
"Malouin, Franeois",Universite de Sherbrooke,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Riboswitch ligand inhibitors for MRSA and staphylococci / Ligands de riboregulateurs agissant comme antibiotiques contre le SARM et les staphylocoques,"$157,350",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC,2013-04-01,2014-03-31,riboswitch ligand inhibitors for mrsa and staphylococci ligands de riboregulateurs agissant comme antibiotiques contre le sarm et les staphylocoques
"Philip, Anie",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Identification of a low molecular weight peptide of CD109 as an anti-scarring agent,"$150,000",$0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; CANCER THERAPY GENERAL; MOLECULAR BIOLOGY; CELL BIOLOGY,2010-04-01,2011-03-31,identification of a low molecular weight peptide of cd109 as an antiscarring agent
"Ndao, Momar",Research Institute of the McGill University Health Centre,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Bridging the Gap Between Mass Spectrometric Profiling and Practical Diagnostic Tests for Commercialization: Case of Chagas Disease,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,"INFECTIOUS AND PARASITIC; PARASITIC; HEALTH RESEARCH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2009-01-01,2009-12-31,bridging the gap between mass spectrometric profiling and practical diagnostic tests for commercialization case of chagas disease
"Schweizer, Frank",University of Manitoba,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Optimization and preclinical studies on amphiphilic aminoglycoside antimicrobials (AAAs),"$160,000",$0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; HEALTH RESEARCH; DRUG RESEARCH,2012-04-01,2013-03-31,optimization and preclinical studies on amphiphilic aminoglycoside antimicrobials aaas
"Turvey, Stuart E",University of British Columbia,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Development of a TLR5 antagonist as a novel anti-inflammatory therapy for cystic fibrosis,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,IMMUNOLOGY-TRANSPLANTATION; BIOCHEMISTRY,2009-07-01,2010-06-30,development of a tlr5 antagonist as a novel antiinflammatory therapy for cystic fibrosis
"Mishra, Ram K",McMaster University,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,A novel dopamine D2 receptor allosteric modulator: Development and commercialization of a safer more effective generation of antipsychotic drugs,"$146,850",$0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",SCHIZOPHRENIA; PARKINSON'S DISEASE; MENTAL HEALTH; BIOCHEMISTRY,2011-10-01,2012-09-30,a novel dopamine d2 receptor allosteric modulator development and commercialization of a safer more effective generation of antipsychotic drugs
"Withers, Stephen G",University of British Columbia,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Novel Influenza Neuraminidase Inhibitors - Development of Orally Bioavailable Agents,"$297,000",$0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; POPULATION HEALTH,2012-10-01,2013-09-30,novel influenza neuraminidase inhibitors development of orally bioavailable agents
"Sheardown, Heather D",McMaster University,Project Grant,202109PJT,Commercialization,A novel eye drop platform to improve ocular therapies,"$531,674",$0,3 yrs 0 mth ,Aging,"Commercialization-Technology Transfer; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-04-01,2025-03-31,a novel eye drop platform to improve ocular therapies
