Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
Buccal Lamin A as a Novel Biomarker for Frailty,"Afilalo, Jonathan",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,160000,0,1 yr 0 mth ,Aging,AGING; CARDIOLOGY; CELL BIOLOGY,4/1/2013,2014-03-31,"Buccal, Lamin A, Biomarker",2
Novel cross-protective (universal) vaccine for influenza infections,"Agrawal, Babita",University of Alberta,Alberta,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,159990,0,1 yr 0 mth ,Infection and Immunity,VIRAL; IMMUNOLOGY-TRANSPLANTATION,10/1/2012,2013-09-30,"cross-protective, influenza, vaccine",2
New dual-mode antiviral agents for the treatment of hepatitis C virus infection,"Agrawal, Babita",University of Alberta,Alberta,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,159984,0,1 yr 0 mth ,Infection and Immunity,VIRAL; DRUG RESEARCH; VIROLOGY,10/1/2013,2014-09-30,"antiviral agents, hepatitis C virus, infection",3
Development of a novel universal (cross-protective) vaccine technology for influenza viruses,"Agrawal, Babita",University of Alberta,Alberta,Project Grant,201903PJT,Commercialization,367200,0,3 yrs 0 mth ,Infection and Immunity,"Commercialization-Intellectual Property; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",10/1/2019,2022-09-30,"vaccine, influenza, cross-protective",0
Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,"Akbari, Mohsen",University of Victoria (British Columbia),British Columbia,Project Grant,202303PJT,Commercialization,332776,0,2 yrs 0 mth ,Musculoskeletal Health and Arthritis,Commercialization-Industry Research & Development,10/1/2023,2025-09-30,"GelDerm, smart dressing, wound monitoring",0
Viralyzing transgenes to improve oncolytic immunotherapy.,"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,100000,0,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",4/1/2024,2025-03-31,"Viralyzing, transgenes, immunotherapy",0
Viralyzing transgenes to improve oncolytic immunotherapy.,"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202403PLL,Commercialization,100000,0,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",10/1/2024,2025-09-30,"Viralyzing, transgenes, immunotherapy",0
Triple Targeted Kinase Inhibitors Capable of Inhibiting Breast Cancer Metastases,"Alaoui-Jamali, Moulay A",McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,10/1/2011,2012-09-30,"Kinase inhibitors, breast cancer, metastases",3
Development of a peptide mimetic vaccine for prevention of Epstein-Barr virus infectious mononucleosis and related cancers.,"Alfieri, Carolina","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,159612,0,1 yr 0 mth ,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,10/1/2014,2015-09-30,"peptide, vaccine, Epstein-Barr virus",0
Modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols,"Allard, Michael F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,150000,0,1 yr 0 mth ,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CARDIOVASCULAR; DRUG RESEARCH,7/1/2009,2010-06-30,"heart, metabolism, polyglycerols",0
Nefopam as an agent to prevent and treat hyperplastic scars,"Alman, Benjamin A",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,159975,0,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",10/1/2010,2011-09-30,"Nefopam, hyperplastic scars",1
"Latonduine A, A Potent delF508-CFTR Trafficking Defect Corrector With Potential for Treating Cystic Fibrosis","Andersen, Raymond J",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,159750,0,1 yr 0 mth ,Circulatory and Respiratory Health,RESPIRATION; INFECTIOUS AND PARASITIC; DRUG RESEARCH,10/1/2010,2011-09-30,"Latonduine, CFTR, Cystic Fibrosis",0
