Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,Cumulative_Patents,Companies,Cumulative_Companies,outcome_data,last_updated
"Afilalo, Jonathan",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Buccal Lamin A as a Novel Biomarker for Frailty,160000,0,160000,1,1,Aging,AGING; CARDIOLOGY; CELL BIOLOGY,2013-04-01,2014-03-31,1,1,"Pathway, Jonathan Afilalo Medical Services Inc.",2,"{""level1_ip"": [{""title"": ""Methods and compositions for assessing frailty using lamin A/C biomarkers"", ""type"": ""Patent Application"", ""filing_year"": 2012, ""assignee"": ""McGill University"", ""description"": ""Patents including US20140377769A1 and related filings cover LMNA gene products (lamin A/C and prelamins) as biomarkers for frailty and vulnerability to adverse health outcomes, specifically mentioning buccal lamin A/C protein expression as a biomarker for frailty.""}], ""level2_companies"": [{""company_name"": ""Pathway"", ""founding_year"": 2018, ""industry"": ""Medical Information Technology"", ""connection"": ""Co-founded by Jonathan Afilalo; however, no direct evidence of licensing or commercialization of buccal lamin A biomarker technology.""}, {""company_name"": ""Jonathan Afilalo Medical Services Inc."", ""founding_year"": 2014, ""industry"": ""Medical Services"", ""connection"": ""Founded by Jonathan Afilalo; no clear link to commercialization of buccal lamin A biomarker technology.""}]}",28:54.6
"Agrawal, Babita",University of Alberta,Alberta,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel cross-protective (universal) vaccine for influenza infections,159990,0,419974,1,5,Infection and Immunity,VIRAL; IMMUNOLOGY-TRANSPLANTATION,2012-10-01,2013-09-30,6,10,"Signoria, S I A Manufacturing Private Limited",3,"{""level1_ip"": [{""title"": ""Universal influenza vaccine based on recombinantly-expressed neuraminidase providing cross-protection"", ""type"": ""Patent"", ""filing_year"": 2019, ""assignee"": ""Agrawal, Babita et al."", ""description"": ""Patent covering a universal influenza vaccine using recombinant neuraminidase to provide cross-protection against multiple influenza strains.""}, {""title"": ""Novel AAV mediated influenza vaccines"", ""type"": ""Patent Application"", ""filing_year"": 2018, ""assignee"": ""Agrawal, Babita et al."", ""description"": ""Patent application for influenza vaccines delivered via adeno-associated virus vectors to induce broad immunity.""}, {""title"": ""Universal influenza vaccine targeting virus/host"", ""type"": ""Patent"", ""filing_year"": 2022, ""assignee"": ""Agrawal, Babita et al."", ""description"": ""Patent for a universal influenza vaccine targeting both viral and host factors to enhance cross-protection.""}, {""title"": ""Novel AAV mediated influenza vaccines"", ""type"": ""Patent Application"", ""filing_year"": 2020, ""assignee"": ""Agrawal, Babita et al."", ""description"": ""Follow-up patent application expanding on AAV-mediated influenza vaccine technology.""}, {""title"": ""Universal influenza vaccine based on recombinant modified vaccinia Ankara virus"", ""type"": ""Patent Application"", ""filing_year"": 2014, ""assignee"": ""Agrawal, Babita et al."", ""description"": ""Patent application for a universal influenza vaccine using recombinant modified vaccinia Ankara virus vectors.""}, {""title"": ""Novel supplemented influenza vaccine with broad cross-protective activity"", ""type"": ""Patent"", ""filing_year"": 2013, ""assignee"": ""Agrawal, Babita et al."", ""description"": ""Patent for an influenza vaccine formulation supplemented to provide broad cross-protection.""}], ""level2_companies"": [{""company_name"": ""Signoria"", ""founding_year"": 2019, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Agrawal, Babita; however, no direct evidence of licensing or commercialization of influenza vaccine technology from the specified research.""}, {""company_name"": ""S I A Manufacturing Private Limited"", ""founding_year"": 2013, ""industry"": ""Manufacturing"", ""connection"": ""Co-founded by Agrawal, Babita; no direct link to influenza vaccine technology commercialization.""}]}",28:54.6
"Agrawal, Babita",University of Alberta,Alberta,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,New dual-mode antiviral agents for the treatment of hepatitis C virus infection,159984,0,,1,,Infection and Immunity,VIRAL; DRUG RESEARCH; VIROLOGY,2013-10-01,2014-09-30,4,,"S I A Manufacturing Private Limited, Chayanika Commercial Private Limited, Signoria",,"{""level1_ip"": [{""title"": ""Methods of treating hepatitis C virus (HCV) related disease using hydroxychloroquine or combination with antiviral agent"", ""type"": ""US Patent"", ""filing_year"": 2013, ""assignee"": ""Babita Agrawal et al."", ""description"": ""Patent covering methods of treating HCV infection using hydroxychloroquine alone or in combination with other antiviral agents.""}, {""title"": ""Hepatitis C virus inhibitors, novel antiviral compounds for treatment or prophylaxis of HCV infection"", ""type"": ""US Patent"", ""filing_year"": 2013, ""assignee"": ""Babita Agrawal et al."", ""description"": ""Patent on novel antiviral compounds targeting HCV for treatment or prevention.""}, {""title"": ""Novel antiviral agents as nucleocapsid assembly inhibitors for treatment of viruses including hepatitis B virus (HBV)"", ""type"": ""WO Patent Application"", ""filing_year"": 2013, ""assignee"": ""Babita Agrawal et al."", ""description"": ""Patent application for antiviral agents inhibiting nucleocapsid assembly, relevant to hepatitis viruses including HBV and potentially HCV.""}, {""title"": ""Neutralization of hepatitis C virus"", ""type"": ""US Patent"", ""filing_year"": 2013, ""assignee"": ""Babita Agrawal et al."", ""description"": ""Patent on methods and compositions for neutralizing HCV infection.""}], ""level2_companies"": [{""company_name"": ""S I A Manufacturing Private Limited"", ""founding_year"": 2013, ""industry"": ""Pharmaceutical Manufacturing"", ""connection"": ""Founded by Babita Agrawal""}, {""company_name"": ""Chayanika Commercial Private Limited"", ""founding_year"": 2009, ""industry"": ""Commercial Services"", ""connection"": ""Founded by Babita Agrawal""}, {""company_name"": ""Signoria"", ""founding_year"": 2019, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Babita Agrawal""}]}",28:54.6
"Agrawal, Babita",University of Alberta,Alberta,Project Grant,201903PJT,Commercialization,Development of a novel universal (cross-protective) vaccine technology for influenza viruses,367200,0,,3,,Infection and Immunity,"Commercialization-Intellectual Property; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",2019-10-01,2022-09-30,0,,,,"{""level1_ip"": [], ""level2_companies"": []}",28:54.6
"Akbari, Mohsen",University of Victoria (British Columbia),British Columbia,Project Grant,202303PJT,Commercialization,Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,332776,0,332776,2,2,Musculoskeletal Health and Arthritis,Commercialization-Industry Research & Development,2023-10-01,2025-09-30,2,2,4M Biotech,1,"{""level1_ip"": [{""title"": ""Smart wound dressing with hydrogel components"", ""type"": ""patent application"", ""filing_year"": 2023, ""assignee"": ""Mohsen Akbari et al."", ""description"": ""Patent application filed in 2023 related to smart wound dressings incorporating hydrogel for continuous wound monitoring.""}, {""title"": ""Smart wound dressing system for continuous monitoring"", ""type"": ""patent"", ""filing_year"": 2023, ""assignee"": ""Mohsen Akbari"", ""description"": ""Patent published in 2024 describing a smart dressing system designed for continuous wound monitoring, directly related to GelDerm technology.""}], ""level2_companies"": [{""company_name"": ""4M Biotech"", ""founding_year"": 2023, ""industry"": ""Biotechnology - Smart wound dressings"", ""connection"": ""Co-founded by Akbari, Mohsen; company develops smart dressings for chronic wounds aligned with GelDerm research.""}]}",28:54.6
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202403PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,100000,0,200000,1,2,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",2024-10-01,2025-09-30,1,1,,0,"{""level1_ip"": [{""title"": ""Vaccinia Enhanced Template (VET\u2122) Platform Patents"", ""type"": ""U.S. Patent"", ""filing_year"": 2024, ""assignee"": ""KaliVir Immunotherapeutics"", ""description"": ""Patents covering engineered vaccinia viruses with transgenes designed to improve oncolytic immunotherapy for cancer treatment.""}], ""level2_companies"": []}",47:05.4
"Alain, Tommy; Graber, Tyson",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,100000,0,,1,,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",2024-04-01,2025-03-31,0,,,,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Alaoui-Jamali, Moulay A",McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Triple Targeted Kinase Inhibitors Capable of Inhibiting Breast Cancer Metastases,160000,0,160000,1,1,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,2011-10-01,2012-09-30,4,4,,0,"{""level1_ip"": [{""title"": ""Purine Compounds And Method For The Treatment Of Cancer"", ""type"": ""patent application"", ""filing_year"": 2021, ""assignee"": ""Alaoui-Jamali, Moulay A"", ""description"": ""Patent application filed on 2021-06-10 related to purine compounds for cancer treatment, relevant to kinase inhibitors and breast cancer metastases.""}, {""title"": ""Compounds and Methods for Treating Cancer and Diseases of the Central Nervous System"", ""type"": ""patent application"", ""filing_year"": 2014, ""assignee"": ""Alaoui-Jamali, Moulay A"", ""description"": ""Patent application published in 2014 covering compounds for cancer treatment, relevant to the research area.""}, {""title"": ""Purine Compounds And Method For The Treatment Of Cancer"", ""type"": ""patent grant"", ""filing_year"": 2020, ""assignee"": ""Alaoui-Jamali, Moulay A et al."", ""description"": ""Granted patent 10,711,002 issued on 2020-07-14 related to purine compounds for cancer treatment.""}, {""title"": ""Cancer Treatment Related Patent"", ""type"": ""patent grant"", ""filing_year"": 2015, ""assignee"": ""Alaoui-Jamali, Moulay A et al."", ""description"": ""Granted patent 9,085,598 issued in 2015 related to cancer treatment.""}], ""level2_companies"": []}",47:05.4
"Alfieri, Carolina","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a peptide mimetic vaccine for prevention of Epstein-Barr virus infectious mononucleosis and related cancers.,159612,0,159612,1,1,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,2014-10-01,2015-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Allard, Michael F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols,150000,0,150000,1,1,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CARDIOVASCULAR; DRUG RESEARCH,2009-07-01,2010-06-30,2,2,,0,"{""level1_ip"": [{""title"": ""Hyperbranched polyglycerol for improving heart function"", ""type"": ""Patent"", ""filing_year"": 2010, ""assignee"": ""Research Institution/Inventors"", ""description"": ""Method of improving heart function by administering hydrophobically modified hyperbranched polyglycerol, directly relevant to modulation of heart metabolism.""}, {""title"": ""Derivatized hyperbranched polyglycerols for drug delivery applications"", ""type"": ""Patent"", ""filing_year"": 2011, ""assignee"": ""Research Institution/Inventors"", ""description"": ""Use of hydrophobically modified hyperbranched polyglycerols for targeted drug delivery, relevant to heart metabolism modulation.""}], ""level2_companies"": []}",47:05.4
"Alman, Benjamin A",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Nefopam as an agent to prevent and treat hyperplastic scars,159975,0,159975,1,1,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",2010-10-01,2011-09-30,2,2,ScarX Therapeutics,1,"{""level1_ip"": [{""title"": ""METHOD OF TREATING SCARS AND \u03b2-CATENIN-MEDIATED DISORDERS USING NEFOPAM COMPOUNDS"", ""type"": ""patent"", ""filing_year"": 2010, ""assignee"": ""Benjamin A. Alman"", ""description"": ""Patent covering the use of nefopam compounds to treat scars and \u03b2-catenin-mediated disorders including hyperplastic scars.""}, {""title"": ""US Patent US8957107B2 - Treatment of scars with nefopam"", ""type"": ""patent"", ""filing_year"": 2015, ""assignee"": ""Benjamin A. Alman"", ""description"": ""Patent related to treating scars with nefopam, inventor Benjamin A. Alman.""}], ""level2_companies"": [{""company_name"": ""ScarX Therapeutics"", ""founding_year"": 2012, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Founded and co-founded by Benjamin A. Alman; company commercializes nefopam-based topical cream (SCX-001) for hypertrophic scar treatment, licensed technology from Alman's research.""}]}",47:05.4
"Andersen, Raymond J",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,"Latonduine A, A Potent delF508-CFTR Trafficking Defect Corrector With Potential for Treating Cystic Fibrosis",159750,0,159750,1,1,Circulatory and Respiratory Health,RESPIRATION; INFECTIOUS AND PARASITIC; DRUG RESEARCH,2010-10-01,2011-09-30,2,2,ESSA Pharma,1,"{""level1_ip"": [{""title"": ""Small molecule CFTR correctors effective in rescuing delF508-CFTR protein processing and chloride ion transport"", ""type"": ""Patent"", ""filing_year"": 2014, ""assignee"": ""University of British Columbia"", ""description"": ""Patent WO2014081820A1 covers small molecule correctors relevant to cystic fibrosis treatment targeting delF508-CFTR trafficking defect.""}, {""title"": ""Small molecule correctors of deltaF508 CFTR trafficking"", ""type"": ""Patent"", ""filing_year"": 2011, ""assignee"": ""University of British Columbia"", ""description"": ""Patents EP2190850A1 and CA2728366A1 describe small molecule correctors with Raymond J. Andersen as inventor, filed after 2010, related to the project.""}], ""level2_companies"": [{""company_name"": ""ESSA Pharma"", ""founding_year"": 2009, ""industry"": ""Biotechnology/Pharmaceuticals"", ""connection"": ""Co-founded by Raymond J. Andersen; licensed and commercialized technology related to delF508-CFTR correctors from this research.""}]}",47:05.4
"Arthur, Gilbert",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Preclinical development of glycerophosphocarbamates as prostate-selective anticancer drugs,137617,0,137617,1,1,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2009-07-01,2010-06-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Banerjee, Diponkar",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,150000,0,150000,1,1,Cancer Research,NEOPLASMS; NONE OF THE ABOVE; CANCER; MOLECULAR BIOLOGY,2009-01-01,2009-12-31,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
"Bear, Christine E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202403PJT,Commercialization,Preclinical studies of a novel CFTR potentiator for commercialization as a therapy for chronic obstructive pulmonary disease.,325125,0,325125,2,2,Circulatory and Respiratory Health,Commercialization-Technology Transfer,2024-10-01,2026-09-30,0,0,,0,"{""level1_ip"": [], ""level2_companies"": []}",47:05.4
