Researcher_ID,grant_ID,company,series_a,series_a_investment,series_b,series_b_investment,series_c,series_c_investment,series_d,series_d_investment,series_e,series_e_investment,series_other,series_other_investment,Exits,Exits_Amount,Investors,Investor_location
812,7,Metaclipse Therapeutics Corporation,,,,,,,,,,,,,,,,
305,3,Oridivus Llc,,,,,,,,,,,,,,,,
451,1,Vernagen Llc,,,,,,,,,,,,,,,,
131,11,"Da Zen Theranostics, Inc.",,,,,,,,,,,,,,,,
567,4,Neupyramid Biotechnology Llc,,,,,,,,,,,,,,,,
458,6,Nephrodi Therapeutics Inc.,,,,,,,,,,,,,,,,
1,16,0,,,,,,,,,,,,,,,,
493,2,Sanguina Inc.,,,,,,,,,,,,,,,,
517,0,Viecure Inc.,,,,,,,,,,,,,,,,
1012,9,Karis Bio Inc.,,,,,,,,,,,,,,,,
617,8,Meissa Vaccines Inc.,,,,,,,,,,,,,,,,
162,10,GanNA Bio inc.,,,,,,,,,,,,,,,,
823,12,"Adcure Bio, LLC",,,,,,,,,,,,,,,,
