Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External Funding,External Funding Partner,Term_Years_Months
"Attisano, Liliana; Louis, Sharon A; Yip, Christopher M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,A vascularized human organoid platform for disease modelling and preclinical testing,$0,$0,"$1,305,150",Natural Sciences and Engineering Research Council of Canada (NSERC),3 yrs 0 mth 
"Byers, David M",Dalhousie University (Nova Scotia),Nova Scotia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Lead optimization of new antibacterials/antimalarials that target ACP synthase,"$76,760",$0,,,1 yr 0 mth 
"Walker, Gilbert C; Wang, Chen",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Improved Diagnosis of Leukemia Using Highly Multiplexed Surface Enhanced Raman Scattering Nanoparticles,"$100,000",$0,,,2 yrs 0 mth 
"Sheardown, Heather D",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Silicone hydrogel contact lens based delivery system for glaucoma treatment,"$102,000",$0,,,3 yrs 0 mth 
"Després, Philippe",Université de Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of an automated blood counter for quantitative molecular imaging applications,"$122,550",$0,,,3 yrs 0 mth 
"Mousavi, Parvin; Fenster, Aaron; Romagnoli, Cesare","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,RF Time Series Flashlight for Targeted Prostate Biopsy,"$126,440",$0,,,3 yrs 0 mth 
"Fichtinger, Gabor; Rudan, John F","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Mobile Image Overlay System (MIOS) for Musculoskeletal Needle Placement Guidance,"$138,013",$0,,,3 yrs 0 mth 
"Lai, Yongjun","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,"""Laser-adjustable"" sutures for glaucoma trabeculectomy surgery","$138,215",$0,,,3 yrs 0 mth 
"Tavakoli, Mahdi; Sloboda, Ronald S; Usmani, Nawaid",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,An Intelligent Needle Adjustment Assistant for Prostate Brachytherapy,"$147,327",$0,,,3 yrs 0 mth 
"Salcudean, Septimiu E",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Image guidance for radical prostatectomy,"$147,584",$0,,,3 yrs 0 mth 
"Radisic, Milica; Nanthakumar, Kumaraswamy",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Platform technology for maturation of human stem cell derived cardiomyocytes and cardiotoxicity screening,"$149,788",$0,,,3 yrs 0 mth 
"Després, Philippe; Longtin, Jean; BERAUD, Guillaume; Déziel, Pierre-Luc",Université Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,"Prédire l'évolution de l'hépatite C par la fédération de données et l'intelligence artificielle : enjeux éthiques, juridiques, sociaux et de vie privée","$156,330",$0,,,3 yrs 0 mth 
"Schreiner, L. John; Falkson, Conrad B; Fichtinger, Gabor; Mcauley, Kim B","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Gel dosimetry for brachytherapy dose delivery validation,"$157,870",$0,,,3 yrs 0 mth 
"Ellis, Randy E","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Kinematics-Based Navigation for Reconstructive Hip Surgery,"$159,435",$0,,,3 yrs 0 mth 
"Waddell, Thomas K",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Advanced tissue engineering strategies for generating replacement tracheal tissues,"$160,876",$0,,,3 yrs 0 mth 
"Khan, Kamran; Arino, Julien",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"Protecting Canadian Health, Security, and Prosperity through the Novel Integration of Global Epidemic Surveillance and Risk Modelling Technologies","$161,227",$0,,,2 yrs 0 mth 
"Stewart, James","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,New Methods for Articular Cartilage Repair through Computer-Assisted Surgery,"$161,270",$0,,,3 yrs 0 mth 
"Barthelat, Francois; Tanzer, Michael",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,"Novel multilayered synthetic structural bone graft materials which combine biocompatibility, biodegradability and high toughness.","$163,222",$0,,,3 yrs 0 mth 
"Scollie, Susan D; Purcell, David W",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Rapid measures of speech-evoked brainstem activity in infants who have hearing loss: Assessing hearing aid benefit for speech sounds.,"$164,423",$0,,,3 yrs 0 mth 
"Yee, Albert J; Whyne, Cari M",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,"Image-guided Radiofrequency Ablation (RFA) - Development, Validation, and Integration of Multimodality Treatment Planning for Vertebral Tumors","$165,000",$0,,,3 yrs 0 mth 
"Adams, Kimberley D; Tavakoli, Mahdi",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic interface with Haptic Guidance and Artificial Intelligence for People with Disabilities,"$166,500",$0,,,3 yrs 0 mth 
"Amsden, Brian G; Hurtig, Mark B","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Articular Cartilage Reconstruction,"$168,002",$0,,,3 yrs 0 mth 
"Tang, Shuo; Nguan, Christopher",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Photoacoustic Imaging for Image Guided Prostate Cancer Interventions,"$172,625",$0,,,3 yrs 0 mth 
"Patel, Rajnikant V",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,A novel platform for minimally invasive tumor localization and treatment,"$172,662",$0,,,3 yrs 0 mth 
"Juncker, David",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Rapid detection of MRSA and identification of strain using an autonomous microfluidic chip with bacteriophages,"$173,500",$0,,,3 yrs 0 mth 
"Langlois, Robert; Whyte, Hilary E; Chan, Adrian D; Green, James; Redpath, Stephanie",Carleton University (Ottawa),Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Reducing vibrations to improve infant patient safety during transportation,"$174,703","$86,730",,,3 yrs 0 mth 
"Eizenman, Moshe",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Objective assessment of visual acuity in pre-verbal subjects,"$176,798",$0,,,3 yrs 0 mth 
"Menon, Carlo","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic assisted transcranial magnetic stimulation therapy,"$180,100",$0,,,3 yrs 0 mth 
"Harvey, Edward J; Henderson, Janet E",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,IMPLANTABLE MICRO-DEVICE to MONITOR MUSCLE COMPARTMENT PRESSURE in TRAUMA VICTIMS,"$180,569",$0,,,3 yrs 0 mth 
"Steele, Russell J; Shrier, Ian",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Causal Modeling of Recurrent Injury Data,"$181,250",$0,,,3 yrs 0 mth 
"Mcfadyen, Bradford J; Edwards, Geoffreyjen; Laurendeau, Denis; Zabjek, Karl F",Université Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Body-Environment Proximity Measurement: An integrated approach to measuring mobility deficits for assessment and treatment,"$181,578",$0,,,3 yrs 0 mth 
"Marcotte, Isabelle",Université du Québec à Montréal,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Improved membrane permeation assays for drug bioavailability assessment,"$184,000",$0,,,3 yrs 0 mth 
"Schmidt, Tannin A",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Biointerface science:  proteoglycan 4 (PRG4) with and without hyaluronic acid as a novel ocular surface boundary lubricant & contact lens coating,"$184,000",$0,,,3 yrs 0 mth 
"St. Lawrence, Keith S; Lee, David S",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,The need for neuromonitoring during the golden hour to prevent preterm brain injury,"$185,373",$0,,,3 yrs 0 mth 
"Pichora, David R","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,"Advanced real-time 3D imaging, planning and navigation of fracture surgery","$185,985",$0,,,3 yrs 0 mth 
"Ladak, Hanif M; Agrawal, Sumit K",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Mastoidectomy Simulator for Surgical Training and Rehearsal,"$186,200",$0,,,3 yrs 0 mth 
"Hafeli, Urs O",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Microneedle-Based Painless Drug Monitoring System in Interstitial Fluid,"$187,007",$0,,,3 yrs 0 mth 
"Goldenberg, Andrew A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,MRI-Guided Focal Ablation of Prostate Cancerous Tissue,"$187,500",$0,,,3 yrs 0 mth 
