Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Arbour, Laura T; Tang, Anthony S",University of British Columbia,Operating Grant,201003MOP,Aboriginal Peoples' Health,Long QT Syndrome in Northern British Columbia:Understanding the impact,"$645,866",$0,5 yrs 0 mth 
"Hemmelgarn, Brenda R",University of Calgary,Operating Grant,200809MOP,Aboriginal Peoples' Health,Access to and Quality of Cardiac Care for First Nations People,"$215,875",$0,3 yrs 0 mth 
"Orr, Pamela",University of Manitoba,Operating Grant,200903MOP,Aboriginal Peoples' Health,The assessment of macrophage function in a First Nation population with a high prevalence of active and latent TB.,"$175,840",$0,2 yrs 0 mth 
"Zehbe, Ingeborg","Lakehead University (Thunder Bay, Ontario)",Operating Grant,201505MOP,Aboriginal Peoples' Health,A collaborative network to develop community-created cervical cancer education and screening strategies for First Nations women in Northwest Ontario,"$100,000",$0,1 yr 1 mth 
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"$543,716",$0,5 yrs 0 mth 
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"$613,780",$0,5 yrs 0 mth 
"Abizaid, Alfonso",Carleton University (Ottawa),Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Ghrelin at the intersection of stress and metabolism,"$726,750",$0,5 yrs 0 mth 
"Adamantidis, Antoine",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Optogenetic dissection of hypothalamic regulation of sleep states.,"$772,526",$0,5 yrs 0 mth 
"Amilhon, Bénédicte","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,202003PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Isolating the role of the raphe-ventral hippocampus serotonergic pathway in anxiety,"$956,250",$0,5 yrs 0 mth 
"Amir, Shimon","Concordia University (Montreal, Quebec)",Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dopamine in circadian control and behavioral modulation of clock gene rhythms in mammalian striatum,"$651,336",$0,5 yrs 0 mth 
"Amir, Shimon","Concordia University (Montreal, Quebec)",Project Grant,201809PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of striatal clock genes in depression and anxiety-like behaviors,"$745,875",$0,5 yrs 0 mth 
"Anisman, Hymie",Carleton University (Ottawa),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Behavioural and neurochemical responses to acute, subchronic, and chronic intermittent stressors in relation to depression: Contribution of 5-HT, CRH and BDNF to the depressive phenotype","$815,514",$0,5 yrs 0 mth 
"Anisman, Hymie",Carleton University (Ottawa),Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Cytokines and stressors influence depression: sensitization and cross sensitization,"$823,380",$0,5 yrs 0 mth 
"Arruda Carvalho, Maithe",University of Toronto,Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigating the Maturation of Sensitive Circuits Underlying Early Life Stress,"$860,626",$0,5 yrs 0 mth 
"Arruda Carvalho, Maithe",University of Toronto,Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Elucidating Remote Memory Engram Networks Across the Lifespan,"$1,124,550",$0,5 yrs 0 mth 
"Bagot, Rosemary C",McGill University,Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Synaptic, cellular and molecular mechanisms of depression susceptibility","$940,950",$0,5 yrs 0 mth 
"Bagot, Rosemary C",McGill University,Project Grant,202109PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A novel regulator of prefrontal circuit function in affective behaviour,"$1,090,125",$0,5 yrs 0 mth 
"Boksa, Patricia J; Wong, Tak Pan",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Prenatal infection as a risk factor for schizophrenia: studies using animal models,"$662,630",$0,5 yrs 0 mth 
"Bolduc, François",University of Alberta,Operating Grant,201009MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Molecular basis of memory defects in Drosophila Fragile X mutants,"$664,645",$0,5 yrs 0 mth 
"Bonin, Robert P",University of Toronto,Project Grant,202209PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Mechanisms of altered affective processing of socially relevant tactile stimuli in chronic pain,"$875,925",$0,5 yrs 0 mth 
"Brandon, Mark P",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Bridging the gap between hippocampal mapping and behavior,"$956,250",$0,5 yrs 0 mth 
"Brown, Arthur",Western University (Ontario),Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Evaluating inhibitors of CSPG synthesis in models of spinal cord injury,"$986,850",$0,5 yrs 0 mth 
"Chaudhri, Nadia","Concordia University (Montreal, Quebec)",Operating Grant,201403MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Pavlovian alcohol cues and relapse to alcoholism,"$423,757",$0,4 yrs 0 mth 
"Chee, Melissa J",Carleton University (Ottawa),Project Grant,202010PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurobiology of fructose-induced obesity,"$761,175",$0,5 yrs 0 mth 
"Chee, Melissa J",Carleton University (Ottawa),Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,State-dependent anxiolysis at zona incerta projections to the superior colliculus,"$872,100",$0,5 yrs 0 mth 
"Cheng, Hai-Ying M",University of Toronto,Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Translational and post-translational control of the mammalian circadian clock,"$562,450",$0,5 yrs 0 mth 
"Cheng, Hai-Ying M",University of Toronto,Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Investigating the functions of the pluripotency factor SOX2 within the mammalian suprachiasmatic nucleus (SCN): implications for circadian timekeeping, SCN clock development, and mood disorders","$715,276",$0,5 yrs 0 mth 
