Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Afilalo, Jonathan",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Buccal Lamin A as a Novel Biomarker for Frailty,160000,0,1,160000,1,Aging,AGING; CARDIOLOGY; CELL BIOLOGY,2013-04-01,1,2014-03-31,"Buccal, Lamin A, Biomarker",2,2
"Agrawal, Babita",,,0,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel cross-protective (universal) vaccine for influenza infections,159990,0,1,419974,5,Infection and Immunity,VIRAL; IMMUNOLOGY-TRANSPLANTATION,2012-10-01,1,2013-09-30,"cross-protective, influenza, vaccine",2,3
"Agrawal, Babita",,,,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,New dual-mode antiviral agents for the treatment of hepatitis C virus infection,159984,0,1,,,Infection and Immunity,VIRAL; DRUG RESEARCH; VIROLOGY,2013-10-01,1,2014-09-30,"antiviral agents, hepatitis C virus, infection",3,
"Agrawal, Babita",,,,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Project Grant,201903PJT,Commercialization,Development of a novel universal (cross-protective) vaccine technology for influenza viruses,367200,0,3,,,Infection and Immunity,"Commercialization-Intellectual Property; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",2019-10-01,1,2022-09-30,"vaccine, influenza, cross-protective",0,
"Akbari, Mohsen",4M Biotech,,1,,,,,,,,,,,,,,,,,,,,University of Victoria (British Columbia),British Columbia,Project Grant,202303PJT,Commercialization,Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,332776,0,2,332776,2,Musculoskeletal Health and Arthritis,Commercialization-Industry Research & Development,2023-10-01,1,2025-09-30,"GelDerm, smart dressing, wound monitoring",0,0
"Alain, Tommy",,,0,,,,,,,,,,,,,,,,,,,,Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202403PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,100000,0,1,200000,2,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",2024-10-01,1,2025-09-30,"Viralyzing, transgenes, immunotherapy",0,0
"Alain, Tommy; Graber, Tyson",,,,,,,,,,,,,,,,,,,,,,,Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,100000,0,1,,,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",2024-04-01,1,2025-03-31,"Viralyzing, transgenes, immunotherapy",0,
"Alaoui-Jamali, Moulay A",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Triple Targeted Kinase Inhibitors Capable of Inhibiting Breast Cancer Metastases,160000,0,1,160000,1,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,2011-10-01,1,2012-09-30,"Kinase inhibitors, breast cancer, metastases",3,3
"Alfieri, Carolina",,,0,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a peptide mimetic vaccine for prevention of Epstein-Barr virus infectious mononucleosis and related cancers.,159612,0,1,159612,1,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,2014-10-01,1,2015-09-30,"peptide, vaccine, Epstein-Barr virus",0,0
"Allard, Michael F",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Modulation of heart metabolism by hydrophobically modified hyperbranched polyglycerols,150000,0,1,150000,1,Circulatory and Respiratory Health,MYOCARDIAL INFARCTION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CARDIOVASCULAR; DRUG RESEARCH,2009-07-01,1,2010-06-30,"heart, metabolism, polyglycerols",0,0
