Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Adesida, Adetola B",University of Alberta,Alberta,Project Grant,201803PJT,Clinical Investigation - B 2,Precision Engineering of Cartilage Grafts for Nasal Reconstruction,"$478,126 ",$0 ,3 yrs 0 mth ,Cancer Research,2018/10/01,"Cartilage, Reconstruction, Grafts",1,Stemcellago Inc.,1,C-suite,"Adesida, Adetola B",
"Allen-Vercoe, Emma",University of Guelph,Ontario,Catalyst Grant: Human Microbiome,200808CHM,Catalyst Grant: Human Microbiome,Investigating the potential effects of host-derived stress hormones on the human gut microflora,"$98,460 ",$0 ,1 yr 0 mth ,Infection and Immunity,3/1/2009,"stress hormones, gut microflora, host-derived",1,Nubyiota Llc,1,C-suite,"Allen-Vercoe, Emma",
"Angers, Stephane",University of Toronto,Ontario,Operating Grant,201203MOP,Molecular & Cellular Biology of Cancer,Wnt signalling circuitries in development and cancer.,"$622,335 ",$0 ,5 yrs 0 mth ,Cancer Research,2012/10/01,"Wnt, signalling, cancer",7,Antlera Therapeutics Inc.; Modmab Therapeutics Inc. (Modmab Therapeutics Corporation),2,C-suite,"Angers, Stephane",
"Aparicio, Samuel J",University of British Columbia,British Columbia,Catalyst Grant: Bioinformatics Approaches to Cancer Research,200903BIO,Catalyst Grant:  Bioinformatics Approaches to Cancer Research,Improving computational inference of single nucleotide variants from next generation sequencing of cancer genomes.,"$99,078 ",$0 ,1 yr 0 mth ,Cancer Research,11/1/2009,"single nucleotide variants, next generation sequencing, cancer genomes",5,Contextual Genomics Inc.,1,C-suite,"Aparicio, Samuel J",
"Av-Gay, Yossef",University of British Columbia,British Columbia,Operating Grant,201003MOP,Microbiology & Infectious Diseases,Molecular analysis of Mycobacterium tuberculosis Signalling,"$745,180 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2010/10/01,"Mycobacterium, tuberculosis, Signalling",7,Advanced Inhalation Therapies (Ait) Ltd.; AIT Therapeutics inc. (Beyond Air inc.),2,C-suite,"Av-Gay, Yossef",
"Bergeron, Richard",Ottawa Hospital Research Institute,Ontario,Project Grant,201709PJT,Pharmacology & Toxicology,Glycine Transporter Blockade and Neuroprotection,"$1,051,875 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2018/04/01,"Glycine transporter, neuroprotection",3,Glycine Research Corp.,2,C-suite,"Bergeron, Richard",
"Biernaskie, Jeffrey A",University of Calgary,Alberta,Catalyst Grant: Musculoskeletal Health and Arthritis,201701CMA,Skin - Catalyst IMHA,Characterizing dermal stem/progenitor contribution during endogenous skin regeneration versus scar formation.,"$100,000 ",$0 ,1 yr 0 mth ,Musculoskeletal Health and Arthritis,3/1/2017,"dermal stem, skin regeneration, scar formation",2,"Quthero, Inc.",1,C-suite,"Biernaskie, Jeffrey A",
"Bolz, Steffen S",University of Toronto,Ontario,Operating Grant,201403MOP,Cardiovascular System - C: Vascular System,Constitutive Smooth Muscle Tumor Necrosis Factor Regulates Microvascular Myogenic Responsiveness and Systemic Blood Pressure,"$263,673 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2014/10/01,"Smooth Muscle, Tumor Necrosis Factor, Microvascular",2,Qanatpharma Ag,1,C-suite,"Bolz, Steffen S",
"Brownstone, Robert M",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201309MOP,Movement & Exercise,Control of movement: Spinal cord motor circuits,"$961,324 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2014/04/01,"spinal cord, motor circuits, control",2,Sania Rx Ltd (Sania Therapeutics),1,C-suite,"Brownstone, Robert M",
"Cypel, Marcelo",University Health Network (Toronto),Ontario,Project Grant,201903PJT,Respiratory System,Transplantation of Hepatitis C infected donors to negative recipients: Combining donor and recipient strategies to prevent transmission.,"$481,950 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2019/10/01,"Hepatitis C, transplantation, transmission",1,Traferox Technologies Inc.,1,C-suite,"Cypel, Marcelo",
