Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Allen, Christine J; Reilly, Raymond M; Sridhar, Srikala S",University of Toronto,Ontario,Operating Grant - Priority Announcement: Breast Cancer,201309COP,Cancer Progression & Therapeutics,Targeted Polymeric Nanotechnology for Multi-Modality Treatment of HER2 Positive Breast Cancer,$0,$0,"$100,000",Avon Foundation for Women - Canada,1 yr 0 mth 
"Bahlis, Nizar J",University of Calgary,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics,Bortezomib mediated BRCAness in Myeloma cells: novel therapeutic approach combining PARP1-2 and 26S proteasome inhibitors.,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Brooks, Donald E",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Blood Utilization and Conservation,201209BUC,Biomedical Engineering,Development of Novel Blood Vessel and Organ Sealants for Blood Conservation in Surgical Practice,$0,$0,"$240,996",Canadian Blood Services (Ottawa),3 yrs 0 mth 
"Drabovich, Andrei P",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Rational design and standardization of serology diagnostics using immunoaffinity-targeted proteomics assays,$0,$0,"$215,500",Public Health Agency of Canada,1 yr 0 mth 
"Godbout, Roseline",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201203OAC,Cancer Progression & Therapeutics,Role of Brain Fatty Acid-binding Protein in Malignant Glioma Progression,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Gorski, Sharon M","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant - Priority Announcement: Breast Cancer Research (AVON),201209OBC,Cancer Progression & Therapeutics,Autophagy inhibition for the treatment of chemotherapy-refractory triple-negative breast cancer,$0,$0,"$750,000",Avon Foundation for Women - Canada,5 yrs 0 mth 
"Grant, Michael D",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,Characterization of Cellular and Humoral Immunity Against SARS-CoV-2,$0,$0,"$497,175",Public Health Agency of Canada,1 yr 0 mth 
"Jarvi, Keith A; Gingras, Anne-Claude; Mazzulli, Tony",Sinai Health System (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"Development of high throughput, inexpensive and scalable testing to detect SARS-CoV-2 antibodies using home blood collection kits and a fully automated ELISA antibody assay",$0,$0,"$484,965",Public Health Agency of Canada,1 yr 0 mth 
"Jirik, Frank R",University of Calgary,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201103OAC,Cancer Progression & Therapeutics,Identifying factors responsible for enhancing the metastatic potential of xenografted NSCLC cells.,$0,$0,"$100,000",Alberta Cancer Foundation,0 yr 1 mth 
"Lavasanifar, Afsaneh",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201103OAC,Biomedical Engineering,Ligand guided polymeric nano-carriers for tumor targeted drug and oncogene silencing therapy: A strategy for chemosensitization of resistant cancers,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Lavasanifar, Afsaneh",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201203OAC,Biomedical Engineering,Tumor targeted polymeric nanocarriers for oncogene silencing therapy of metastatic breast cancer,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Le, Xiaochun C",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201203OAC,Cancer Biology & Therapeutics,Mechanisms of arsenic carcinogenesis,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Le, Xiaochun C",University of Alberta,Alberta,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Point-of-care diagnostics of COVID-19 using isothermal amplification and CRISPR technology,$0,$0,"$828,046","Social Sciences & Humanities Research Council (Ottawa, Ontario)",2 yrs 0 mth 
"Lemieux, Joanne M",University of Alberta,Alberta,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,"Synthesis, Structural Studies and Evaluation of Inhibitors of the 3CL Protease of SARS-CoV-2 as Potential Drugs for Treating Infection",$0,$0,"$714,250",Natural Sciences and Engineering Research Council of Canada (NSERC),2 yrs 0 mth 
"Little, Dustin J",Toronto Metropolitan University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"A low-cost, portable, and decentralized microfluidic device for detecting SARS-CoV-2 neutralizing antibodies",$0,$0,"$235,800",Public Health Agency of Canada,1 yr 0 mth 
"Ma, Hongshen",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Blood Utilization and Conservation,201403BUC,Biomedical Engineering,Microfluidic Devices to Measure the Deformability of Stored Red Blood Cells,$0,$0,"$398,301",Canadian Blood Services (Ottawa),3 yrs 0 mth 
"Marchant, David J; West, Frederick G",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Broad-spectrum Antiviral Nasal Spray to Prevent and treat Infection by SARS-CoV2 and Seasonal Respiratory Viruses in High Risk Patients and Health Care Providers,$0,$0,"$662,480",International Development Research Centre (Ottawa),1 yr 0 mth 
"Maxwell, Christopher A",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Breast Cancer Research (AVON),201309OBC,Cancer Biology & Therapeutics,"Understanding the mitotic and non-mitotic roles of RHAMM, a novel regulator for aurora kinase A.",$0,$0,"$631,358",Avon Foundation for Women - Canada,5 yrs 0 mth 
"Michelakis, Evangelos D",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics 2,The Metabolic basis of Cancer Angiogenesis,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Nazy, Ishac",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Long-term protective immunity against SARS-CoV-2 virus in COVID-19 patients,$0,$0,"$350,000",Public Health Agency of Canada,1 yr 0 mth 
"Pai, Madhukar",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"Validation of rapid, molecular testing for COVID-19 and integration with TB diagnostics",$0,$0,"$421,479",International Development Research Centre (Ottawa),1 yr 0 mth 
