Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Aardema, Frederikus",CIUSSS de l'Est-de-l'lle-de-Montreal-Sante Mentale,Quebec,Project Grant,201709PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Inference-Based Cognitive Therapy versus Exposure and Response Prevention for Obsessive-Compulsive Disorder: A 16-Session Randomized Controlled Trial,"$726,750 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2018/04/01,"Cognitive, Exposure, Obsessive-Compulsive Disorder",0,zN/A,0,zN/A,54,1
"Aardema, Frederikus",CIUSSS de l'Est-de-l'lle-de-Montreal-Sante Mentale,Quebec,Project Grant,202303PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Towards remission and full recovery from obsessive-compulsive disorder: Investigating the efficacy of Inference-Based Cognitive-Behavioral Therapy when standard treatment has failed,"$937,125 ",$0 ,6 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/10/01,"Obsessive-compulsive disorder, Cognitive-Behavioral Therapy, Inference-Based",0,zN/A,0,zN/A,55,1
"Aaron, Shawn D",Ottawa Hospital Research Institute,Ontario,Operating Grant: Knowledge to Action,200910KAL,Operating Grant: Knowledge to Action,Dissemination and Implementation of a Lung Transplant Decision Aid,"$171,938 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,4/1/2010,"Lung, Transplant, Decision Aid",0,zN/A,0,zN/A,56,2
"Abadie, Valerie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,"Catalyst Grant: Environments, Genes and Chronic Disease",201304CEN,"Catalyst Grant: Environments, Genes and Chronic Disease",Deciphering the pathways associated with tissue destruction in celiac disease,"$99,967 ",$0 ,1 yr 0 mth ,Infection and Immunity,10/1/2013,"pathways, tissue destruction, celiac disease",0,zN/A,0,zN/A,57,3
"AbdelRahman, Khaled S",University of British Columbia,British Columbia,Project Grant,202403PJT,Pharmacology & Toxicology,The contribution of metabotropic glutamate receptor 5 to cerebral blood flow homeostasis in Alzheimer's disease,"$803,250 ",$0 ,5 yrs 0 mth ,Gender and Health,2024/10/01,"metabotropic glutamate receptor 5, cerebral blood flow, Alzheimer's disease",0,zN/A,0,zN/A,58,4
"Abdul Sater, Ali","York University (Toronto, Ontario)",Ontario,Project Grant,201809PJT,Immunology & Transplantation,Dissecting the role of TRAF1 in regulating linear ubiquitination and the impact on inflammatory diseases,"$803,250 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2019/04/01,"TRAF1, ubiquitination, inflammatory diseases",1,zN/A,0,zN/A,59,5
"Abenhaim, Haim A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201209MOP,"Public, Community & Population Health",Are Cesarean Deliveries Associated with a Long-Term Increased Risk of Small Bowel Obstruction?,"$156,813 ",$0 ,2 yrs 0 mth ,Gender and Health,2013/04/01,"Cesarean, Bowel Obstruction, Risk",0,zN/A,0,zN/A,60,6
"Abidi, Syed S",Dalhousie University (Nova Scotia),Nova Scotia,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - predictive analytic models,Predictive Modeling to Predict Personalized Spinal Surgery Outcomes: A Data-Driven e-Health Platform for Informed and Shared Decision Making to Triage Spinal Surgeries,"$199,408 ",$0 ,2 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",9/1/2017,"Predictive modeling, spinal surgery, e-health",0,zN/A,0,zN/A,61,7
"Abizaid, Alfonso",Carleton University (Ottawa),Ontario,Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"$543,716 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2010/10/01,"Stress, Obesity, Ghrelin",0,zN/A,0,zN/A,62,8
"Abizaid, Alfonso",Carleton University (Ottawa),Ontario,Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"$613,780 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2015/10/01,"Stress, Obesity, Ghrelin",0,zN/A,0,zN/A,63,8
"Abizaid, Alfonso",Carleton University (Ottawa),Ontario,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Ghrelin at the intersection of stress and metabolism,"$726,750 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/10/01,"Ghrelin, stress, metabolism",0,zN/A,0,zN/A,64,8
"Abou Elela, Sherif",Universite de Sherbrooke,Quebec,Operating Grant,201203MOP,Biochemistry & Molecular Biology - B,Mechanisms of RNase III-dependent regulation of gene expression,"$768,956 ",$0 ,5 yrs 0 mth ,Genetics,2012/10/01,"RNase III, gene regulation, RNA processing",0,zN/A,0,zN/A,65,9
"Abou Elela, Sherif",Universite de Sherbrooke,Quebec,Project Grant,201809PJT,Biochemistry & Molecular Biology - B,Mechanisms and targets of intron dependent regulation of cell growth and adaptation to starvation,"$921,825 ",$0 ,5 yrs 0 mth ,Genetics,2019/04/01,"intron, regulation, cell growth",0,zN/A,0,zN/A,66,9
