Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
,,,,,,,,,,,,1/1/2017,,,,,,316,1
"Afilalo, Jonathan",McGill University,Quebec,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Buccal Lamin A as a Novel Biomarker for Frailty,160000.0,0.0,1.0,Aging,AGING; CARDIOLOGY; CELL BIOLOGY,4/1/2013,"Buccal, Lamin A, Biomarker",2.0,,0.0,,27,2
"Agrawal, Babita",University of Alberta,Alberta,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel cross-protective (universal) vaccine for influenza infections,159990.0,0.0,1.0,Infection and Immunity,VIRAL; IMMUNOLOGY-TRANSPLANTATION,10/1/2012,"cross-protective, influenza, vaccine",2.0,,0.0,,28,3
"Agrawal, Babita",University of Alberta,Alberta,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,New dual-mode antiviral agents for the treatment of hepatitis C virus infection,159984.0,0.0,1.0,Infection and Immunity,VIRAL; DRUG RESEARCH; VIROLOGY,10/1/2013,"antiviral agents, hepatitis C virus, infection",1.0,,0.0,,29,3
"Agrawal, Babita",University of Alberta,Alberta,Project Grant,201903PJT,Commercialization,Development of a novel universal (cross-protective) vaccine technology for influenza viruses,367200.0,0.0,3.0,Infection and Immunity,"Commercialization-Intellectual Property; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",10/1/2019,"vaccine, influenza, cross-protective",0.0,,0.0,,30,3
"Akbari, Mohsen",University of Victoria (British Columbia),British Columbia,Project Grant,202303PJT,Commercialization,Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,332776.0,0.0,2.0,Musculoskeletal Health and Arthritis,Commercialization-Industry Research & Development,10/1/2023,"GelDerm, smart dressing, wound monitoring",0.0,,0.0,,31,4
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202309PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,100000.0,0.0,1.0,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",4/1/2024,"Viralyzing, transgenes, immunotherapy",0.0,,0.0,,32,5
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202403PLL,Commercialization,Viralyzing transgenes to improve oncolytic immunotherapy.,100000.0,0.0,1.0,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",10/1/2024,"Viralyzing, transgenes, immunotherapy",0.0,,0.0,,33,5
"Alaoui-Jamali, Moulay A",McGill University,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Triple Targeted Kinase Inhibitors Capable of Inhibiting Breast Cancer Metastases,160000.0,0.0,1.0,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,10/1/2011,"Kinase inhibitors, breast cancer, metastases",3.0,,0.0,,34,6
"Alfieri, Carolina","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Development of a peptide mimetic vaccine for prevention of Epstein-Barr virus infectious mononucleosis and related cancers.,159612.0,0.0,1.0,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,10/1/2014,"peptide, vaccine, Epstein-Barr virus",0.0,,0.0,,35,7
