Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
"Beaulieu, Christian",University of Alberta,Operating Grant: Methodological Innovations for Neuroimaging Datasets,201304OMI,Methodological Innovations for Neuroimaging Datasets,Integrated Software for the Assessment of Diffusion Tensor Imaging of Brain Wiring in Alzheimer's Disease and Dementia,"$215,821","$3,000",3 yrs 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; IMAGING; NERVOUS SYSTEM,2013-10-01,2016-09-30,"Diffusion Tensor Imaging, Brain Wiring, Alzheimer's Disease",0
"Cotechini, Tiziana","Queen's University (Kingston, Ontario)",Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,A paradigm shift in understanding Hunner lesion-interstitial cystitis/bladder pain syndrome: examining autoimmunity as a driver of disease and targeting B cells as a novel therapeutic opportunity,"$150,000",$0,1 yr 0 mth ,Infection and Immunity,"GENITO/URINARY SYSTEM; POPULATION HEALTH; RENAL FUNCTION, NEPHROLOGY, UROLOGY; IMMUNOLOGY-TRANSPLANTATION",2024-02-01,2025-01-31,"Hunner lesion, interstitial cystitis, B cells",0
"Wang, Jun",Dalhousie University (Nova Scotia),Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,Understanding the role of chronic chlamydial infection in ovarian cancer,"$150,000",$0,1 yr 0 mth ,Cancer Research,CARCINOGENS (INCL ENVIRONMENTAL); INFECTIOUS AND PARASITIC; CANCER; IMMUNOLOGY-TRANSPLANTATION,2024-02-01,2025-01-31,"chlamydial infection, ovarian cancer",0
"Corkum, Penny V",Dalhousie University (Nova Scotia),Operation:eHealth Innov Partnership Program(eHIPP)-Youth &Adolescent Mental Hlth,201506EH1,eHealth Innovation Partnership Program (eHIPP): Youth and Adolescents Mental Health,Teacher Help: Novel technologies for meeting the immediate needs of youth with mental health disorders in Canada,"$297,200",$0,3 yrs 0 mth ,"Human Development, Child and Youth Health",MENTAL AND BEHAVIOURAL DISEASES; PSYCHO-SOCIAL AND BEHAVIOURAL RESEARCH; MENTAL HEALTH; HEALTH SERVICES RESEARCH,2015-10-01,2018-09-30,"teacher, mental health, youth",0
"Mazzulli, Tony",Sinai Health System (Toronto),Operating Grant: AMR: Point of Care Diagnostics in Human Health Phase 2,201810APC,AMR: Point of Care Diagnostics in Human Health - Phase 2,Development of an automated point of care system for rapid multiplex detection and antibiotic resistance profiling of microbial pathogens.,"$673,199",$0,3 yrs 0 mth ,Infection and Immunity,"INFECTIOUS AND PARASITIC; VIRAL; BACTERIOLOGY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2019-01-01,2021-12-31,"point of care, multiplex detection, antibiotic resistance",0
"Burrell, Robert",University of Alberta,Operating Grant: AMR: Point of Care Diagnostics in Human Health Phase 2,201810APC,AMR: Point of Care Diagnostics in Human Health - Phase 2,Point-of-Care Diagnostic Discrimination Between Bacterial and Viral Infections Using a Nanostructured Platform Device for Detection of Host Biomarkers.,"$620,000",$0,3 yrs 0 mth ,Infection and Immunity,VIRAL; PNEUMONIA; HEALTH RESEARCH; BACTERIOLOGY,2019-01-01,2021-12-31,"Point-of-Care, Nanostructured, Biomarkers",0
"Di Renna, Tania",Women's College Hospital (Toronto),Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,Let's not wait 11 years: Development and rapid adoption of a screening measure for endometriosis in young Canadian adults,"$594,250",$0,2 yrs 10 mths ,Gender and Health,HEALTH RESEARCH,2024-06-01,2027-03-31,"endometriosis, screening, young adults",0
"Ciampi, Antonio",McGill University,Operating Grant : Adv Theoretical Meth Innov Hlth Res-Longitudinal Studies Aging,201110TO1,Operating Grant: Innovations in Health Research,Identifying states and courses of a mental disorder from longitudinal data: Delirium as an example,"$190,662","$3,000",2 yrs 0 mth ,Population and Public Health,BIOSTATISTICS; EPIDEMIOLOGY; MENTAL HEALTH; HEALTH RESEARCH,2012-02-01,2014-01-31,"mental disorder, longitudinal data, delirium",0
"Sanche, Leon",Universite de Sherbrooke,Operating Grant,201209MOP,Medical Physics & Imaging,Secondary electron collision cross sections for use in radiotherapy and radioprotection/Sections efficaces de diffusion des electrons secondaires pour utilisation en radiotherapie et radioprotection.,"$670,172",$0,5 yrs 0 mth ,Cancer Research,POPULATION HEALTH; CANCER THERAPY GENERAL; CANCER,2013-04-01,2018-03-31,"electron, radiotherapy, radioprotection",0
"Fradette, Julie",Universite Laval,Operating Grant,201009MOP,Biomedical Engineering,Tissu adipeux humain reconstruit par genie tissulaire: substituts endothelialises et compatibles avec la clinique,"$692,633",$0,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; SKIN AND SUBCUTANEOUS TISSUS; CELL BIOLOGY; MOLECULAR BIOLOGY",2011-04-01,2016-03-31,"adipose tissue, tissue engineering, endothelialization",0
