Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Sage, Andrew T",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Biomedical Engineering,'Smart Ventilation' - Novel Real-Time Biosensors and Artificial Intelligence for Optimized Mechanical Ventilation in Human Lungs,"$692,325 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cardiovascular, Respiratory and Circulatory Systems-Respiratory Sciences; Artificial Intelligence-Machine Learning",4/1/2024,2029-03-31,0,"Biosensors, Artificial Intelligence, Mechanical Ventilation"
"Leong, Hon Sing","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202203PJT,Cancer Progression & Therapeutics 2,"'Two-Step Authentication' for Optimal Prostate Cancer Risk Determination: An ""Extracellular Vesicle""-Based Liquid Biopsy Followed by Multi-Parametric MRI.","$1,637,100 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology; Biomedical Engineering-Biomedical Imaging,10/1/2022,2027-09-30,1,"Extracellular Vesicle, Liquid Biopsy, MRI"
"Fenster, Aaron",Western University (Ontario),Ontario,Operating Grant,200809MOP,Medical Physics & Imaging,3D ultrasound-guided trans-perineal focal prostate therapy platform,"$631,813 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"PROSTATE AND BLADDER CANCER; IMAGING; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2009,2014-03-31,7,"ultrasound, prostate, therapy"
"Raynal, Noel J","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - PA: Epigenetics/epigenomics in human health or disease,202003PJG,Cancer Biology & Therapeutics 2,4D spheroids identify type I protein arginine methyltransferases as a target in NSCLC,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism",10/1/2020,2021-09-30,0,"4D, spheroids, NSCLC"
"Macaulay, Calum E",University of British Columbia,British Columbia,Operating Grant - PA: Institute of Cancer Research (bridge funding),200909IC3,Biomedical Engineering,A 3D cell-based computer model for a system biology approach to the study of intra epithelial neoplastic processes.,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,NEOPLASMS; BIOSTATISTICS; CANCER; BIOPHYSICS,3/1/2010,2011-02-28,1,"3D cell model, system biology, intra epithelial neoplastic"
"Shakiba, Nika",University of British Columbia,British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Biomedical Engineering,A bioengineering platform to promote safe cell therapies,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Genetics,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,10/1/2022,2027-09-30,0,"bioengineering, cell therapies, platform"
"Shakiba, Nika",University of British Columbia,British Columbia,Project Grant,202203PJT,Biomedical Engineering 2,A bioengineering platform to promote safe cell therapies,"$963,900 ", $-   , $-   ,,5 yrs 0 mth ,Genetics,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,10/1/2022,2027-09-30,0,"bioengineering, cell therapies, platform"
"Boyd, Steven K",University of Calgary,Alberta,Operating Grant,201003MOP,Biomedical Engineering,A biomedical engineering approach to investigating bone quality across the lifespan,"$629,550 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",10/1/2010,2015-09-30,0,"biomedical engineering, bone quality, lifespan"
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,A Breakthrough Solution to Effectively Prevent Preterm Birth,"$599,500 ", $-   , $-   ,,2 yrs 10 mths ,"Human Development, Child and Youth Health",PREGNANCY/BIRTH; PERINATAL; REPRODUCTION/PREGNANCY; DRUG RESEARCH,6/1/2024,2027-03-31,0,"Preterm Birth, Prevention"
"Licht, Christoph",Hospital for Sick Children (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,A central role for the vascular endothelium in COVID-19 pathogenesis,"$583,472 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,VIRAL; BLOOD; HEALTH RESEARCH; CELL BIOLOGY,6/1/2020,2021-05-31,0,"vascular endothelium, COVID-19, pathogenesis"
