Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents,companies,companies_count
"Richard, Dave",Universite Laval,Joint Canada-Israel Health Research Program,202204JCI,Joint Canada-Israel Health Research Program Phase II,Investigating the interplay between Sickle Cell Anemia and Malaria at the epidemiological and molecular levels.,$0 ,$0 ,4 yrs 0 mth ,,,,,"Sickle Cell, Malaria, Epidemiology",,,
"Bull, Shelley B",Sinai Health System (Toronto),Catal. Grant: Analysis of CLSA Data - Brain Health and Cognit. Impairm. in Aging,202410AD8,Catalyst Grant: Analysis of CLSA Data,Genome-wide association studies (GWAS) of quantitative traits with repeated measures related to the process of aging,"$69,962 ",$0 ,1 yr 0 mth ,,,,,"genome-wide association, quantitative traits, aging",,,
"Pasquier, Jean Charles",Universite de Sherbrooke,Op. Gr.:Emerging COVID-19 Res. Gaps & Priorities (July 2021) - Immune Responses,202109EG9,Operating Grant: Emerging COVID-19 Research Gaps & Priorities (July 2021),Modulation des reponses immunitaires à la vaccination contre la COVID-19 par une intervention sur le microbiote intestinal : un essai randomise contrôle.,"$999,810 ",$0 ,1 yr 0 mth ,,,,,"immunitaire, microbiote, COVID-19",,,
"Beattie, Karen",McMaster University,Catalyst Grant: Bone Health,201006CBO,Catalyst Grant: Bone Health,A Knowledge Translation Tool for Estimating Fracture Risk:  The Use of FRAX® in Primary Care,"$95,491 ",$0 ,1 yr 0 mth ,,,,,"Knowledge translation, fracture risk, FRAX",,,
"Flamand, Louis",Universite Laval,Operating Grant: COVID-19 - Transmission dynamics/animal host/modeling,202002OV4,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Understanding the pathogenesis of COVID-19,$0 ,$0 ,2 yrs 0 mth ,,,,,"COVID-19, pathogenesis",,,
"Le Foll, Bernard",Centre for Addiction and Mental Health (Toronto),Catalyst Grant: Prevention and Treatment of Illicit Substance Use,201101CSU,Catalyst Grant: Prevention and Treatment of Illicit Substance Use,Effects of Fixed or Self-Titrated dosages of Sativex® on Cannabis Users,"$100,000 ",$0 ,1 yr 0 mth ,,,,,"Sativex, Cannabis, dosages",,,
"Schroeder, Bonnie","Queen's University (Kingston, Ontario)",Knowledge Synthesis Grant,201411KRS,Knowledge Synthesis Grant,A Systematic Review and Meta-Analysis of the Accuracy of Depression Rating Scales to Diagnose Depression in Older Adults with Alzheimer's Disease and Other Dementias,"$100,000 ",$0 ,1 yr 0 mth ,,,,,"Depression, Rating Scales, Dementia",,,
"Dubois, Lise",University of Ottawa,"Catalyst Grant: Environments, Genes and Chronic Disease - Diabesity",201304CE1,"Catalyst Grant: Environments, Genes and Chronic Disease",Interactions between dietary protein intake and polymorphisms in the insulin growth factor family: Effects on obesity development in the Quebec Newborn Twin Study,"$100,000 ",$0 ,1 yr 0 mth ,,,,,"protein, polymorphisms, obesity",,,
"Khalil, Abdelouahed",Universite de Sherbrooke,Catalyst Grant: Pilot Projects in Aging,200903IAP,Institute of Aging Pilot Projects,Caracterisation par la TEP de l'inflammation arterielle associee à l'inflamm-aging,"$49,217 ",$0 ,1 yr 0 mth ,,,,,"PET, inflammation, arteries",,,
"Pillai, Dylan R",University of Calgary,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Development and implementation of rapid metagenomic sequencing coupled with isothermal amplification point of care testing for viral diagnostics,$0 ,$0 ,2 yrs 0 mth ,,,,,"metagenomic, sequencing, diagnostics",,,
