Researcher_Name,Project_Title,Company_name,Series_A,Series_A_Investment,Series_B,Series_B_Investment,Series_C,Series_C_Investment,Other_Funding_rounds,Clinical_Trials,Exits,Exit_Amount,Company_outcomes
"Afilalo, Jonathan",Buccal Lamin A as a Novel Biomarker for Frailty,Jonathan Afilalo Medical Services Inc.,FALSE,null,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [{""round"": ""Seed/Angel"", ""year"": 2021, ""amount"": ""$1.3 million CAD"", ""investors"": ""Panache Ventures, Amplify Capital, Desjardins Venture Capital, BoxOne Ventures, Formentera Capital""}], ""clinical_trials"": [{""year"": 2023, ""stage"": ""Randomized Clinical Trial"", ""condition"": ""Frailty and exercise/nutrition interventions in frail older adults undergoing transcatheter aortic valve replacement (PERFORM-TAVR trial)""}], ""exits"": []}"
"Afilalo, Jonathan",Buccal Lamin A as a Novel Biomarker for Frailty,Pathway,FALSE,null,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Agrawal, Babita",New dual-mode antiviral agents for the treatment of hepatitis C virus infection,Chayanika Commercial Private Limited,FALSE,null,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Agrawal, Babita",New dual-mode antiviral agents for the treatment of hepatitis C virus infection,S I A Manufacturing Private Limited,FALSE,null,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": []}"
"Agrawal, Babita",Novel cross-protective (universal) vaccine for influenza infections,Signoria,FALSE,null,FALSE,null,FALSE,null,null,null,TRUE,null,"{""venture_funding"": [], ""clinical_trials"": [], ""exits"": [{""type"": ""IPO"", ""date"": ""March 19, 2024"", ""amount"": ""\u20b965.00 per share"", ""valuation"": ""Market cap approx. \u20b930.93 crore post-IPO""}]}"
"Akbari, Mohsen",Towards commercialization of GelDerm-a smart dressing for continuous wound monitoring,4M Biotech,FALSE,null,FALSE,null,FALSE,null,null,null,FALSE,null,"{""venture_funding"": [{""round"": ""Angel/Seed"", ""year"": 2023, ""amount"": ""$2.575 million"", ""investors"": ""Not specified""}], ""clinical_trials"": [{""year"": 2025, ""stage"": ""Planned Phase 1"", ""condition"": ""Central Nervous System disorders including bipolar disorder""}, {""year"": 2025, ""stage"": ""Planned Phase 1"", ""condition"": ""Alzheimer's disease and frontal temporal dementia""}], ""exits"": []}"
"Alman, Benjamin A",Nefopam as an agent to prevent and treat hyperplastic scars,ScarX Therapeutics,TRUE,2000000,FALSE,null,FALSE,null,0,1,FALSE,null,"{""venture_funding"": [{""round"": ""Series A"", ""year"": 2016, ""amount"": ""$2 million"", ""investors"": ""BDC Venture Capital, Accel-Rx Health Sciences Accelerator, MaRS Innovation, and others""}], ""clinical_trials"": [{""year"": 2017, ""stage"": ""Phase I"", ""condition"": ""Post-surgical dermal scarring""}], ""exits"": []}"
"Andersen, Raymond J","Latonduine A, A Potent delF508-CFTR Trafficking Defect Corrector With Potential for Treating Cystic Fibrosis",ESSA Pharma,FALSE,null,FALSE,null,FALSE,null,85000000,3,TRUE,null,"{""venture_funding"": [{""round"": ""Public Offering"", ""year"": 2019, ""amount"": ""$36 million"", ""investors"": ""Pharmaceutical company venture capital backers including Pfizer""}, {""round"": ""Public Offering"", ""year"": 2020, ""amount"": ""$49 million"", ""investors"": ""Pharmaceutical company venture capital backers including Pfizer""}, {""round"": ""Post-IPO Equity"", ""year"": 2022, ""amount"": ""Not specified"", ""investors"": ""Biotechnology Value Fund, Frazier Healthcare Partners, and others""}], ""clinical_trials"": [{""year"": 2020, ""stage"": ""Phase 1"", ""condition"": ""Metastatic castration-resistant prostate cancer (mCRPC)""}, {""year"": 2021, ""stage"": ""Phase 1/2"", ""condition"": ""mCRPC - combination of EPI-7386 and enzalutamide""}, {""year"": 2024, ""stage"": ""Phase 2 (terminated)"", ""condition"": ""Metastatic castration-resistant prostate cancer - masofaniten combined with enzalutamide (terminated due to insufficient efficacy)""}], ""exits"": [{""type"": ""Acquisition"", ""date"": ""May 16, 2019"", ""amount"": ""All-stock transaction (amount not specified)"", ""details"": ""ESSA Pharma acquired Realm Therapeutics""}, {""type"": ""IPO"", ""date"": ""Prior to 2020 (exact date not specified)"", ""amount"": ""Not specified"", ""details"": ""ESSA Pharma is publicly traded on NASDAQ under ticker EPIX""}]}"
"Beg, Mirza Faisal",,Veterinary AI Health Analytics,,,,,,,,,,,
"Beg, Mirza Faisal",Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,Voronoi Health Analytics Incorporated,FALSE,null,FALSE,null,FALSE,null,15570000,0,FALSE,null,"{""venture_funding"": [{""round"": ""IPO"", ""year"": 2021, ""amount"": ""$15.57M"", ""investors"": ""Honest Ventures, Nice Investment Partners""}], ""clinical_trials"": [], ""exits"": []}"
