Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords,companies,companies_count
"Abbasi Nejad Enger, Shirin",Research Institute of the McGill University Health Centre,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Novel Delivery System for High Dose Rate Intensity Modulated Brachytherapy with Yb-169 as a Radiation Source," $245,475 "," $65,000 ", $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIDISCIPLINARY; CANCER; HEALTH RESEARCH,4/1/2018,2021-03-31,0,"Delivery, Brachytherapy, Yb-169",,
"Abbasi Nejad Enger, Shirin",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a non-invasive positron detector to measure the arterial input function for pharmacokinetic modelling in dynamic positron emission tomography imaging," $1,214,556 "," $89,250 ", $-   ,,3 yrs 0 mth ,Cancer Research,MULTIDISCIPLINARY; CANCER THERAPY GENERAL; IMAGING; CANCER,4/1/2020,2023-03-31,0,"positron, detector, imaging",,
"Abolmaesumi, Purang",University of British Columbia,British Columbia,Project Grant,202203PJT,Medical Physics & Imaging,Automatic Assessment of Aortic Stenosis with Point of Care Ultrasound," $1,005,976 ", $-   , $-   ,,5 yrs 0 mth ,Aging,"Artificial Intelligence-Machine Learning; Biomedical Engineering-Biomedical Imaging; Cardiovascular, Respiratory and Circulatory Systems-Clinical and Translational Cardiovascular Sciences",10/1/2022,2027-09-30,0,"Aortic Stenosis, Ultrasound, Point of Care",,
"Abraham, Sheela A","Queen's University (Kingston, Ontario)",Ontario,Project Grant,202010PJT,Cancer Biology & Therapeutics 2,Elucidating the role extracellular vesicles play in leukaemogenesis," $1,071,000 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis,4/1/2021,2026-03-31,0,"extracellular vesicles, leukaemogenesis",,
"Acker, Jason P",University of Alberta,Alberta,Project Grant,201804PJT,Biomedical Engineering,Enabling liver cryopreservation by controlling ice recrystallization with small molecule inhibitors," $100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,"Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Biomedical Engineering-Regenerative Medicine and Tissue Engineering",10/1/2018,2019-09-30,0,"liver, cryopreservation, ice recrystallization",,
"Acker, Jason P",University of Alberta,Alberta,Project Grant,202010PJT,Biomedical Engineering,Enabling liver cryopreservation by controlling ice recrystallization with small molecule inhibitors," $600,524 ", $-   , $-   ,,4 yrs 0 mth ,Infection and Immunity,"Digestive, Endocrine and Excretory Systems-Gastroenterology and Hepatology; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism; Biomedical Engineering-Regenerative Medicine and Tissue Engineering",10/1/2018,2019-09-30,0,"liver, cryopreservation, ice recrystallization",,
"Adachi, Jonathan D",McMaster University,Ontario,Operating Grant,201103MOP,Medical Physics & Imaging,On the development of bone quality parameters for assessing osteoporosis using peripheral quantitative computed tomography," $657,828 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; AGING; MUSCLE, BONE, OR JOINT; IMAGING",10/1/2011,2016-09-30,0,"bone, osteoporosis, computed tomography",,
"Adams, Kimberley D",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic interface with Haptic Guidance and Artificial Intelligence for People with Disabilities," $166,500 ", $-   , $-   ,,3 yrs 0 mth ,"Human Development, Child and Youth Health",NONE OF THE ABOVE; NOT CLASSIFIED,4/1/2014,2017-03-31,0,"Robotic, Haptic, Artificial Intelligence",,
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201003IRO,Industry Partnered Collaborative Research,Establishment of A New Database of Pediatric Laboratory Reference Intervals for Biomarkers of Pediatric Disease," $66,196 ", $-   , $-   ,,1 yr 0 mth ,"Human Development, Child and Youth Health",BLOOD; HEALTH SERVICES RESEARCH; BIOCHEMISTRY; POPULATION HEALTH,10/1/2010,2011-09-30,0,"database, biomarkers, pediatric disease",,
"Adeli, Khosrow",Hospital for Sick Children (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,CALIPER: A Canadian Initiative to Close the Critical Gaps in Pediatric Reference Intervals," $66,667 ", $-   , $-   ,,1 yr 0 mth ,"Human Development, Child and Youth Health",HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; HEALTH RESEARCH; POPULATION HEALTH,10/1/2011,2012-09-30,0,"pediatric, reference intervals, gaps",,
