Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Prevost, Michele",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Re-engineering of the hospital sink environment to reduce transmission of multi-drug resistant opportunistic pathogens,"$306,167","$6,949",,,3 yrs 0 mth ,"hospital sink, multi-drug resistant, pathogens",Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; ENVIRONMENTAL INFLUENCES ON HEALTH,2018-04-01,2021-03-31,0
"Meguerditchian, Ari N",McGill University,Quebec,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),Adjuvant Endocrine Therapy in Breast Cancer: A Novel E-health Approach in Optimizing Treatment Adherence in Seniors,"$76,336",$0,,,1 yr 0 mth ,"Endocrine, Breast Cancer, E-health",Aging,BREAST CANCER THERAPY; AGING; HEALTH SERVICES RESEARCH,2014-03-01,2015-02-28,0
"Barthelat, Francois",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,"Novel multilayered synthetic structural bone graft materials which combine biocompatibility, biodegradability and high toughness.","$163,222",$0,,,3 yrs 0 mth ,"bone graft, biocompatibility, biodegradability",Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; BONE CANCER; MUSCLE, BONE, OR JOINT",2017-04-01,2020-03-31,0
"Marziali, Elsa",Baycrest Centre for Geriatric Care (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Development and Evaluation of an Internet Technology Platform for the Delivery of Evidence-based Intervention Programs to Adults with Chronic Disease,"$99,925",$0,,,1 yr 0 mth ,"Internet, Intervention, Chronic Disease",Health Services and Policy Research,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; HEALTH RESEARCH,2013-03-01,2014-02-28,0
"Feld, Jordan J",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Randomized controlled trial of the efficacy of pre-emptive tenofovir to prevent hepatitis B reactivation in patients who are anti-HBc antibody positive receiving curative intent rituximab-based chemotherapy for non-Hodgkin's lympohma,"$143,445",$0,,,3 yrs 0 mth ,"tenofovir, hepatitis B, rituximab","Nutrition, Metabolism and Diabetes",VIRAL; LIVER DISEASE; GASTROINTESTINAL (LIVER); VIROLOGY,2013-10-01,2016-09-30,0
"Suuronen, Erik",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Injectable collagen matrices for cardiac tissue repair,"$417,412","$25,000",,,3 yrs 0 mth ,"Injectable, collagen, cardiac",Circulatory and Respiratory Health,"MYOCARDIAL INFARCTION; INJURY, REGENERATION; CARDIOVASCULAR",2018-04-01,2021-03-31,1
"Lee, Wonsook",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Detection and simulation of femoroacetabular impingement,"$253,650",$0,,,3 yrs 0 mth ,"femoroacetabular impingement, detection, simulation",,,2011-04-01,2014-03-31,0
"Kelley, Shana O",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Analysis of Circulating Tumor Cell Heterogeneity Using a Multi-Marker Microscale Capture Approach as a tool in the Management and Treatment of Cancer,"$344,850",$0,,,3 yrs 0 mth ,"Circulating Tumor Cells, Microscale Capture, Cancer",Cancer Research,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; CANCER; BIOCHEMISTRY,2016-04-01,2019-03-31,3
"Takahata, Kenichi",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Smart Stents for Wireless Monitoring of Vascular Disease,"$300,032",$0,,,3 yrs 0 mth ,"Smart, Stents, Monitoring",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Bourbeau, Jean",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200809IRO,Industry Partnered Collaborative Research,Canadian Cohort Obstructive Lung Disease (CanCOLD),"$427,933","$7,000",,,2 yrs 0 mth ,"Obstructive Lung Disease, Cohort, CanCOLD",Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; POPULATION HEALTH; RESPIRATION,2009-04-01,2011-03-31,0
"Jolicoeur, Marc E",Montreal Heart Institute,Quebec,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Immediate vs. Delayed Stenting after Primary Percutaneous Reperfusion in ST Elevation Myocardial Infarction,"$211,072",$0,,,3 yrs 0 mth ,"stenting, reperfusion, myocardial infarction",Circulatory and Respiratory Health,CARDIOLOGY; CARDIOVASCULAR,2013-10-01,2016-09-30,0
"Fichtinger, Gabor","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Mobile Image Overlay System (MIOS) for Musculoskeletal Needle Placement Guidance,"$138,013",$0,,,3 yrs 0 mth ,"Mobile, Image Overlay, Needle Placement",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; CANCER THERAPY GENERAL; IMAGING; MUSCLE, BONE, OR JOINT",2015-04-01,2018-03-31,2
"Griffith, May C",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,The Liquid Cornea as an alternative to corneal transplantation: Pathway to Clinical trials,"$306,789","$14,300",,,3 yrs 0 mth ,"Liquid, Cornea, Transplantation",Aging,AGING; MULTIDISCIPLINARY; VISION; IMMUNOLOGY-TRANSPLANTATION,2020-04-01,2023-03-31,3
