Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,outcome_data,last_updated,title_keywords
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Cancer Progression & Therapeutics 2,Tumour-Initiating Cells in Oral Cancer Patients: Predictors of Outcome and Identification of Candidate Therapeutic Targets,"$523,091",$0,,,4 yrs 0 mth ,Cancer Research,NEOPLASMS; CANCER; HEALTH RESEARCH,2013-04-01,2017-03-31,0,,,"Tumour-Initiating Cells, Oral Cancer, Therapeutic Targets"
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Biology & Therapeutics,Viralyzing transgenes to improve oncolytic immunotherapy,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",2023-03-01,2024-02-29,0,,,"Viralyzing, transgenes, immunotherapy"
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant - Priority Announcement: Breast Cancer,201003COP,Cancer Progression & Therapeutics 2,Investigation of the Filamin Signaling Network's Function in Cancer Progression,"$740,235",$0,,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; CELL BIOLOGY,2010-10-01,2015-09-30,0,,,"Filamin, Signaling, Cancer"
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant - PA: Institute of Cancer Research (bridge funding),200909IC3,Cancer Progression & Therapeutics,Molecular and Translational Studies of Filamin Signaling Network in Invasive Cancer,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; CELL BIOLOGY,2010-03-01,2011-02-28,0,,,"Filamin, Signaling, Cancer"
"Algar, Walter R",University of British Columbia,British Columbia,Project Grant,202010PJT,Biomedical Engineering,Materials and Technologies for Highly Sensitive Biomarker Analysis of Extracellular Vesicles Toward Cancer Diagnostics,"$367,200",$0,,,3 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Methods Development and Modelling-Quantitative Methods Development for Health Research",2021-04-01,2024-03-31,0,,,"Biomarker, Extracellular Vesicles, Cancer"
"Aoudjit, Fawzi",Universite Laval,Quebec,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Elucidating the role of alpha2beta1 integrin in the chemoresistance of acute lymphoblastic leukemia.,"$567,520",$0,,,5 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER,2014-07-01,2019-06-30,0,,,"alpha2beta1 integrin, chemoresistance, leukemia"
"Aoudjit, Fawzi",Universite Laval,Quebec,Project Grant - Priority Announcement: Pediatric Cancer Research,202209PDI,Cancer Biology & Therapeutics,Understanding the role of beta1 integrins in chemoresistance of acute lymphoblastic leukemia and therapeutic implications,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis; Cancer-Pediatric Cancer,2023-03-01,2024-02-29,0,,,"beta1 integrins, chemoresistance, leukemia"
"Aparicio, Samuel J",University of British Columbia,British Columbia,Project Grant,202303PJT,Cancer Progression & Therapeutics,Mechanisms and targeting of repair deficient cancers with G-quadruplex small molecule ligands,"$1,048,050",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,2023-10-01,2028-09-30,0,,,"G-quadruplex, small molecule, cancers"
"Aparicio, Samuel J",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,PP2a protein serine/threonine phosphatase mutations in cancer: functional consequences and clinical relevance,"$588,895",$0,,,4 yrs 0 mth ,Cancer Research,BREAST CANCER; GENITO/URINARY SYSTEM,2012-04-01,2016-03-31,0,,,"PP2a, phosphatase, cancer"
"Arcand, JoAnne",Ontario Tech University,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Improving heart failure outcomes through apps that support self-management and adherence,"$146,368",$0,,,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","STROKE, HEART FAILURE; HEALTH PROMOTION; CARDIOVASCULAR; NUTRITION",2017-09-01,2019-08-31,0,,,"heart failure, self-management, adherence"
